papel,cotacao,p_l,p_vp,psr,dividend_yield,p_ativo,p_cap_giro,p_ebit,p_ativo_circulante_liq,ev_ebit,ev_ebitda,margem_ebit,margem_liquida,liquidez_corrente,roic,roe,liquidez_2meses,patrimonio_liquido,div_bruta_patrimonio,crescimento_receita_5a,score
PFRM3,8.54,8.49,0.8,0.1,6.73,0.183,1.15,3.44,-66.02,5.65,3.58,2.9,1.25,1.28,9.61,9.47,2162070.0,1315040000.0,0.72,17.05,79.25
AVIL3,0.93,12.97,4.16,2.338,0.0,2.227,3.89,10.0,9.02,9.4,9.4,23.38,18.01,5.14,40.99,32.03,0.0,1106590000.0,0.52,1.74,79.09
IGTI11,21.62,15.05,1.45,5.058,1.82,0.717,3.0,9.07,-3.46,11.68,9.38,55.73,33.6,4.9,10.65,9.66,55867800.0,4409240000.0,0.94,15.79,78.96
ENMT4,79.99,17.42,4.36,2.116,5.1,1.224,12.39,10.18,-2.76,13.6,11.34,20.78,12.15,1.56,14.07,25.01,1488.05,4019070000.0,1.83,9.13,78.92
RADL3,14.67,21.43,3.89,0.633,2.56,1.114,7.5,10.93,-8.33,12.1,6.72,5.79,2.97,1.34,14.31,18.13,227211000.0,6485910000.0,0.49,17.85,78.86
TASA4,7.77,14.19,0.85,0.688,2.37,0.427,1.8,10.4,5.58,15.55,10.78,6.62,4.85,1.7,4.71,6.01,3003880.0,1268180000.0,0.59,9.37,78.74
TRPN3,0.71,0.44,0.54,0.263,104.74,0.399,0.59,0.36,0.59,-0.35,-0.35,72.28,59.29,3.61,523.01,122.35,0.0,59358000.0,0.0,5.77,78.69
CSNA3,8.84,-4.47,0.9,0.261,6.23,0.118,0.85,2.0,-0.24,7.55,4.54,13.05,3.99,1.64,8.1,20.03,92698000.0,13083900000.0,4.07,3.25,78.63
PTNT3,9.26,11.54,1.01,0.541,2.92,0.419,1.23,12.5,7.22,16.48,8.14,4.32,7.21,2.56,4.93,8.77,5210.76,439823000.0,0.88,5.58,78.53
DURA4,31.39,16.35,2.22,2.182,0.0,1.224,17.24,10.12,-10.49,11.47,11.47,21.56,13.39,1.27,14.38,13.59,0.0,1789980000.0,0.52,10.94,78.53
TASA3,8.03,14.66,0.88,0.711,2.29,0.441,1.86,10.75,5.76,15.9,11.03,6.62,4.85,1.7,4.71,6.01,122697.0,1268180000.0,0.59,9.37,78.36
SEER3,10.0,21.46,1.03,0.622,1.54,0.377,6.54,3.51,-1.06,5.12,3.19,17.7,2.9,1.26,12.0,4.79,7949510.0,1251870000.0,0.72,13.18,78.24
DURA3,31.9,16.62,2.26,2.218,0.0,1.244,17.52,10.29,-10.66,11.64,11.64,21.56,13.39,1.27,14.38,13.59,0.0,1789980000.0,0.52,10.94,78.14
ELUM4,47.9,14.79,1.99,1.251,0.0,1.178,3.07,19.64,3.34,14.9,14.9,6.37,8.46,2.02,9.4,13.47,0.0,443231000.0,0.08,8.4,78.11
TNCP4,182.6,14.42,2.49,3.091,0.0,1.696,52.65,11.85,-22.3,11.88,8.72,26.08,21.44,1.15,16.48,17.29,0.0,13081500000.0,0.09,97.79,78.11
LEVE4,44.49,12.07,6.8,1.255,0.0,1.624,10.51,7.34,-11.09,8.2,7.2,17.1,10.4,1.34,34.75,56.36,0.0,886641000.0,1.16,14.41,77.93
TFCO4,13.92,16.91,4.41,2.417,1.61,2.571,5.89,12.1,9.4,12.65,11.53,19.98,14.3,2.72,25.07,26.06,6693410.0,484021000.0,0.3,31.11,77.93
FRAS3,26.15,21.54,3.31,1.585,1.98,1.048,3.96,10.67,-5.49,13.72,10.66,14.85,7.53,2.19,12.3,15.38,10602500.0,2131360000.0,1.28,20.69,77.88
CZLT33,29.23,11.24,1.39,0.526,0.0,0.145,1.87,3.1,-0.29,10.26,4.03,16.97,9.14,1.58,5.31,12.36,0.0,5691680000.0,3.93,7.88,77.86
TNCP3,184.85,14.59,2.52,3.129,0.0,1.717,53.3,12.0,-22.58,12.03,8.83,26.08,21.44,1.15,16.48,17.29,0.0,13081500000.0,0.09,97.79,77.83
